"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"11","동물운송업","02_03_12_P","3240000","324000005020220020","20221115","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강동구 암사동 *** 삼성 광나루 아파트","서울특별시 강동구 상암로*길 **(암사동, 삼성 광나루 아파트)","05240","pet65머9261","20221115093005","I","2022-11-17 00:22:24.0","","211161.286678064","450203.741209731","동물운송업","동물운송업","000","0",
"12","동물운송업","02_03_12_P","6520000","652000005020220001","20221115","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 신효동 ***-*","제주특별자치도 서귀포시 하신상로 ***-*(신효동)","63605","제주에니멀119주식회사","20221115093555","I","2022-11-17 00:22:24.0","","163566.479586138","-24714.393426921","동물운송업","동물운송업","L00","0",
"13","동물운송업","02_03_12_P","5050000","505000005020220003","20221202","","01","영업/정상","0000","정상","","","","","01023686346","0","","경상북도 경주시 북군동 466-1","경상북도 경주시 북군길 147-3(북군동)","38116","486펫콜","20221206174218","U","2022-12-08 02:40:00.0","","403918.516713456","264688.182801885","동물운송업","동물운송업","000","0",
"14","동물운송업","02_03_12_P","5050000","505000005020220004","20221202","","01","영업/정상","0000","정상","","","","","01023686346","0","","경상북도 경주시 북군동 466-1","경상북도 경주시 북군길 147-3(북군동)","38116","486펫콜","20221206174245","U","2022-12-08 02:40:00.0","","403918.516713456","264688.182801885","동물운송업","동물운송업","000","0",
"15","동물운송업","02_03_12_P","3940000","410010005020220004","20221202","","01","영업/정상","0000","정상","","","","","","0","","경기도 고양시 일산서구 대화동 **** 성저마을**단지건영빌라","경기도 고양시 일산서구 일산로***번길 **, 성저마을**단지건영빌라 ****동 ***호 (대화동, 성저마을**단지건영빌라)","10369","pet11거9277","20221202083534","I","2022-12-04 00:39:59.0","","178721.60698743","464476.297525677","동물운송업","동물운송업","000","0",
"16","동물운송업","02_03_12_P","3110000","311000005020220021","20221221","","01","영업/정상","0000","정상","","","","","010-8415-1707","0","","서울특별시 은평구 불광동 484-324 102호","서울특별시 은평구 통일로88길 12-16, 102호 (불광동)","03341","pet31다4991","20221221131845","I","2022-12-23 00:40:13.0","","192938.774007124","457854.808202099","동물운송업","동물운송업","000","0",
"17","동물운송업","02_03_12_P","4060000","406000005020220026","20221209","","01","영업/정상","0000","정상","","","","","01052436664","0","","경기도 파주시 다율동 986 청석마을대원효성아파트 920동 404호","경기도 파주시 청석로 300, 920동 404호 (다율동, 청석마을대원효성아파트)","10875","Pet03모7315","20221209101819","I","2022-12-11 00:40:50.0","","175196.730027347","469604.629252065","동물운송업","동물운송업","000","0",
"18","동물운송업","02_03_12_P","3740000","374000005020220060","20221115","","01","영업/정상","0000","정상","","","","","","0","","경기도 수원시 영통구 이의동 ****-* 광교엘포트아이파크","경기도 수원시 영통구 광교중앙로 ***, 광교엘포트아이파크 B동 ***호 (이의동)","16508","pet 184머6671","20221115090411","I","2022-11-17 00:22:24.0","","205049.975071918","420565.686783422","동물운송업","동물운송업","000","0",
"19","동물운송업","02_03_12_P","3520000","352000005020220017","20221202","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 연수구 옥련동 *** 럭키송도아파트 ***동 ***호","인천광역시 연수구 능허대로**번길 **, ***동 ***호 (옥련동, 럭키송도아파트)","21957","pet38버0527","20221202155303","I","2022-12-04 00:39:59.0","","168308.896349869","435878.031661119","동물운송업","동물운송업","000","0",
"20","동물운송업","02_03_12_P","4060000","406000005020220027","20221212","","01","영업/정상","0000","정상","","","","","010-4011-7958","0","","경기도 파주시 와동동 1356 가람마을 10단지 동양엔파트 월드메르디앙 1012동 403호","경기도 파주시 가온로 245, 1012동 403호 (와동동, 가람마을 10단지 동양엔파트 월드메르디앙)","10894","Pet32어0665","20221212173714","I","2022-12-14 00:40:48.0","","178202.145016809","469329.406832244","동물운송업","동물운송업","000","0",
"21","동물운송업","02_03_12_P","3940000","395000005020220025","20221212","","01","영업/정상","0000","정상","","","","","010-7770-0873","0","","경기도 고양시 덕양구 대장동 271-23 로덴하우스3차 301동 201호","경기도 고양시 덕양구 대주로107번길 139-35, 로덴하우스3차 301동 201호 (대장동)","10456","pet112라7049","20221212140708","I","2022-12-14 00:40:48.0","","183238.642668761","459401.658224016","동물운송업","동물운송업","000","0",
"22","동물운송업","02_03_12_P","4490000","566000005020220014","20221212","","01","영업/정상","0000","정상","","","","","010-5767-1805","0","","충청남도 천안시 서북구 성정동 796","충청남도 천안시 서북구 쌍용대로 271(성정동)","31139","어썸강아지호텔 & 목욕","20221212181136","I","2022-12-14 00:40:48.0","","212060.774838517","368915.317231848","동물운송업","동물운송업","000","0",
"23","동물운송업","02_03_12_P","3240000","324000005020220022","20221212","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강동구 천호동 425-3 천호역 한강 푸르지오시티","서울특별시 강동구 구천면로 192, 천호역 한강 푸르지오시티 (천호동)","05328","pet372우2027","20221212113833","I","2022-12-14 00:40:48.0","","211047.953350591","448684.23415758","동물운송업","동물운송업","000","0",
"24","동물운송업","02_03_12_P","5530000","553000005020220065","20221228","","01","영업/정상","0000","정상","","","","","01044170949","0","","경기도 화성시 남양읍 남양리 2050-5","경기도 화성시 남양읍 역골동로 57, 302호","18271","pet137우3777","20221228114011","I","2022-12-30 00:40:19.0","","184994.238785743","411479.959586083","동물운송업","동물운송업","000","0",
"25","동물운송업","02_03_12_P","5540000","554000005020220026","20221212","","01","영업/정상","0000","정상","","","","","010-7579-2222","0","","경기도 광주시 퇴촌면 광동리 116-2 천지하이츠빌","경기도 광주시 퇴촌면 광동로52번길 60-3, G동 402호 (천지하이츠빌)","12711","pet111구8866","20221212131903","I","2022-12-14 00:40:48.0","","227564.129879113","440469.267840057","동물운송업","동물운송업","000","0",
"26","동물운송업","02_03_12_P","4050000","564000005020220010","20221212","","01","영업/정상","0000","정상","","","","","010-5230-8501","0","","경기도 용인시 수지구 신봉동 1025 힐스테이트 광교산 107동 502호","경기도 용인시 수지구 신봉2로 154, 107동 502호 (신봉동, 힐스테이트 광교산)","16812","마이하우스퍼피 애견호텔 유치원","20221212102156","I","2022-12-14 00:40:48.0","","205944.821661886","425692.193998239","동물운송업","동물운송업","000","0",
"27","동물운송업","02_03_12_P","3130000","313000005020220016","20221214","","01","영업/정상","0000","정상","","","","","010-3054-3096","0","","서울특별시 마포구 창전동 6-252","서울특별시 마포구 와우산로26길 54-21, 202호 (창전동, 금반석빌라)","04059","pet09두9356","20221214153345","I","2022-12-17 00:40:08.0","","193566.916181675","450012.030125331","동물운송업","동물운송업","000","0",
"28","동물운송업","02_03_12_P","3160000","316000005020220029","20221215","","01","영업/정상","0000","정상","","","","","010-9323-6126","0","","서울특별시 구로구 개봉동 331-21 101호","서울특별시 구로구 개봉로15길 36-30, 101호 (개봉동)","08347","pet 175도8770","20221215144702","I","2022-12-17 00:40:08.0","","187001.955133834","443212.60019977","동물운송업","동물운송업","000","0",
"29","동물운송업","02_03_12_P","3240000","324000005020220021","20221205","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강동구 강일동 699 강일리버파크9단지","서울특별시 강동구 고덕로97길 29, 904동 410호 (강일동, 강일리버파크9단지)","05216","쫄랑이네 펫택시","20221205102652","I","2022-12-07 00:40:39.0","","215730.622600971","450856.343626497","동물운송업","동물운송업","000","0",
"30","동물운송업","02_03_12_P","3080000","308000005020220012","20221208","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강북구 미아동 54-138","서울특별시 강북구 도봉로10길 32(미아동)","01219","pet19루8354","20221208105231","I","2022-12-10 00:40:06.0","","202679.870815221","456864.08967927","동물운송업","동물운송업","000","0",
"31","동물운송업","02_03_12_P","3780000","378000005020220029","20221205","","01","영업/정상","0000","정상","","","","","01082229091","0","","경기도 성남시 중원구 하대원동 110-1 모란역리베니움Ⅰ","경기도 성남시 중원구 둔촌대로 160, 202호 (하대원동, 모란역리베니움Ⅰ)","13385","pet355고4729","20221205105322","I","2022-12-07 00:40:39.0","","212035.456158308","436357.333770068","동물운송업","동물운송업","000","0",
"32","동물운송업","02_03_12_P","3550000","355000005020220006","20221215","","01","영업/정상","0000","정상","","","","","010-3667-5546","0","","인천광역시 계양구 효성동 515-38 선경스카이뷰","인천광역시 계양구 아나지로 101, 104동 5층 502호 (효성동, 선경스카이뷰)","21104","pet273어7957","20221215112743","I","2022-12-17 00:40:08.0","","173674.864822022","447062.465630512","동물운송업","동물운송업","000","0",
"33","동물운송업","02_03_12_P","3780000","378000005020220030","20221214","","01","영업/정상","0000","정상","","","","","010-2701-7619","0","","경기도 성남시 수정구 태평동 7343 가천대역동부센트레빌","경기도 성남시 수정구 태평로 28, 105동 703호 (태평동, 가천대역동부센트레빌)","13294","pet59오0353","20221214125326","I","2022-12-17 00:40:08.0","","211467.807666189","438454.407972426","동물운송업","동물운송업","000","0",
"34","동물운송업","02_03_12_P","3050000","305000005020220008","20221215","","01","영업/정상","0000","정상","","","","","010-3618-1836","0","","서울특별시 동대문구 휘경동 368 브라운스톤휘경","서울특별시 동대문구 망우로20길 86, 108동 906호 (휘경동, 브라운스톤휘경)","02501","pet288도 4736","20221215110829","I","2022-12-17 00:40:08.0","","205790.569535899","454211.953899577","동물운송업","동물운송업","000","0",
"35","동물운송업","02_03_12_P","3860000","386000005020220040","20221215","","01","영업/정상","0000","정상","","","","","010-5373-0325","0","","경기도 부천시 춘의동 211-8 라온빌","경기도 부천시 조마루로371번길 40, 301호 (춘의동, 라온빌)","14553","pet31너5316","20221215171917","I","2022-12-17 00:40:08.0","","180978.427409161","444198.653539642","동물운송업","동물운송업","000","0",
"36","동물운송업","02_03_12_P","3140000","314000005020220019","20221215","","01","영업/정상","0000","정상","","","","","01092706915","0","","서울특별시 양천구 신월동 1078 목동 센트럴 아이파크 위브 4단지","서울특별시 양천구 남부순환로83길 47, 405동 1203호 (신월동, 목동 센트럴 아이파크 위브 4단지)","08067","pet314오3724","20221215155326","I","2022-12-17 00:40:08.0","","186158.771733801","446193.976097126","동물운송업","동물운송업","000","0",
"37","동물운송업","02_03_12_P","3140000","314000005020220020","20221215","","01","영업/정상","0000","정상","","","","","01038998808","0","","서울특별시 양천구 신정동 733-31 수정아파트","서울특별시 양천구 신정로13길 35, 102동 202호 (신정동, 수정아파트)","08081","pet345로6702","20221215173157","I","2022-12-17 00:40:08.0","","185967.454226746","445578.857500994","동물운송업","동물운송업","000","0",
"38","동물운송업","02_03_12_P","3140000","314000005020220018","20221205","","01","영업/정상","0000","정상","","","","","01054897399","0","","서울특별시 양천구 목동 499-14 우남파크빌","서울특별시 양천구 목동중앙본로29길 26-14, 203호 (목동, 우남파크빌)","07948","pet53다0150","20221205170732","I","2022-12-07 00:40:39.0","","188401.369814905","449231.962865235","동물운송업","동물운송업","000","0",
"39","동물운송업","02_03_12_P","4030000","403000005020220004","20221205","","01","영업/정상","0000","정상","","","","","010-6352-4714","0","","경기도 의왕시 오전동 841 백합아파트","경기도 의왕시 오전로 179, 104동 202호 (오전동, 백합아파트)","16054","pet50저1109","20221205113347","I","2022-12-07 00:40:39.0","","197221.781620211","428242.863836577","동물운송업","동물운송업","000","0",
"40","동물운송업","02_03_12_P","4030000","403000005020220005","20221205","","01","영업/정상","0000","정상","","","","","01042920433","0","","경기도 의왕시 포일동 676-11","경기도 의왕시 봇들4길 11-5, 203호 (포일동)","16004","pet35구0449","20221205113919","I","2022-12-07 00:40:39.0","","198428.855905757","432998.838897973","동물운송업","동물운송업","000","0",
"41","동물운송업","02_03_12_P","4040000","404000005020220021","20221208","","01","영업/정상","0000","정상","","","","","010-3235-3345","0","","경기도 하남시 선동 453 미사강변도시 베라체","경기도 하남시 풍산로 270, 203동 1101호 (선동, 미사강변도시 베라체)","12907","pet16주3974","20221208162946","I","2022-12-10 00:40:06.0","","215711.236495181","452241.682523143","동물운송업","동물운송업","000","0",
"42","동물운송업","02_03_12_P","4040000","404000005020220022","20221208","","01","영업/정상","0000","정상","","","","","010-2394-7330","0","","경기도 하남시 망월동 1170 미사강변효성해링턴플레이스엔에이치에프","경기도 하남시 미사강변한강로 326, 2912동 702호 (망월동, 미사강변효성해링턴플레이스엔에이치에프)","12921","pet31우1347","20221208163338","I","2022-12-10 00:40:06.0","","217462.997836661","451045.760502546","동물운송업","동물운송업","000","0",
"43","동물운송업","02_03_12_P","3100000","310000005020220013","20221208","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 상계동 1382-11","서울특별시 노원구 상계로35길 41-8, 201호 (상계동)","01635","pet53러1658","20221208153620","I","2022-12-10 00:40:06.0","","206798.164171836","463282.800746888","동물운송업","동물운송업","000","0",
"44","동물운송업","02_03_12_P","3000000","300000005020220005","20221215","","01","영업/정상","0000","정상","","","","","010-9819-5419","0","","서울특별시 종로구 충신동 25-73","서울특별시 종로구 율곡로27길 20-2(충신동)","03099","486펫콜 서울종로점","20221215142456","I","2022-12-17 00:40:08.0","","200596.762855601","452469.723845106","동물운송업","동물운송업","000","0",
"45","동물운송업","02_03_12_P","4050000","564000005020220009","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 용인시 수지구 성복동 *** 버들치마을 성복자이*차 ***동 ****호","경기도 용인시 수지구 성복*로***번길 **, ***동 ****호 (성복동, 버들치마을 성복자이*차)","16853","pet 22가4878","20221201090808","I","2022-12-03 00:39:57.0","","205721.405183607","423906.534225469","동물운송업","동물운송업","000","0",
"46","동물운송업","02_03_12_P","3540000","354000005020220028","20221201","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 부평구 부평동 ***-** 부평 대우마이빌 ***호","인천광역시 부평구 부평대로 ***, 부평 대우마이빌 ***호 (부평동)","21359","pet 307나7738","20221201205237","I","2022-12-03 00:39:57.0","","175389.252420569","444285.341324149","동물운송업","동물운송업","000","0",
"47","동물운송업","02_03_12_P","3900000","390000005020220011","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 광명시 소하동 **** 신촌휴먼시아*단지아파트","경기도 광명시 소하로 ***, ***동 ****호 (소하동, 신촌휴먼시아*단지아파트)","14319","pet57루7200","20221201203708","I","2022-12-03 00:39:57.0","","190506.019990845","438370.26318886","동물운송업","동물운송업","000","0",
"48","동물운송업","02_03_12_P","4400000","440000005020220001","20221121","","01","영업/정상","0000","정상","","","","","","0","","충청북도 제천시 강제동 ***-*","충청북도 제천시 고명로 *-*, ***호 (강제동)","27198","제천 펫택시","20221121093024","I","2022-11-23 00:22:23.0","","308753.282544225","403157.151677551","동물운송업","동물운송업","000","0",
"49","동물운송업","02_03_12_P","3990000","399000005020220042","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 남양주시 화도읍 마석우리 ** 마석 그랜드힐아파트 ***동 ***호","경기도 남양주시 화도읍 경춘로 ****-**, ***동 ***호 (마석 그랜드힐아파트)","12181","pet223루7460","20221201155457","I","2022-12-03 00:39:57.0","","228113.356010998","461011.067336458","동물운송업","동물운송업","000","0",
"50","동물운송업","02_03_12_P","3160000","316000005020220028","20221130","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 구로구 신도림동 *** 신도림 대림아파트 ***동 ****호","서울특별시 구로구 신도림로 **, ***동 ****호 (신도림동, 신도림 대림아파트)","08211","pet32우1533","20221130152435","I","2022-12-03 00:39:57.0","","189372.1910653","444854.451693268","동물운송업","동물운송업","000","0",
"51","동물운송업","02_03_12_P","3940000","410010005020220003","20221121","","01","영업/정상","0000","정상","","","","","","0","","경기도 고양시 일산서구 대화동 ****-***","경기도 고양시 일산서구 주엽로 **, E동 *층 ***호 (대화동)","10392","견생공방","20221121084421","I","2022-11-23 00:22:23.0","","178443.772452423","462653.992741763","동물운송업","동물운송업","000","0",
"52","동물운송업","02_03_12_P","6510000","651000005020220013","20221201","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 용강동 ****-*","제주특별자치도 제주시 아봉로 ***-*(용강동)","63312","제주에니멀119주식회사","20221201174429","I","2022-12-03 00:39:57.0","","161192.496185008","-2364.97472165833","동물운송업","동물운송업","L00","0",
"53","동물운송업","02_03_12_P","3740000","374000005020220063","20221220","","01","영업/정상","0000","정상","","","","","","0","","경기도 수원시 장안구 조원동 745-6 동화빌라","경기도 수원시 장안구 송정로187번길 72-9, 201호 (조원동, 동화빌라)","16285","pet 142서1073","20221220153102","I","2022-12-22 00:40:33.0","","201205.019783393","422179.842964157","동물운송업","동물운송업","000","0",
"54","동물운송업","02_03_12_P","3740000","374000005020220064","20221220","","01","영업/정상","0000","정상","","","","","","0","","경기도 수원시 권선구 금곡동 66 강남아파트","경기도 수원시 권선구 서수원로 607, 105동 903호 (금곡동, 강남아파트)","16392","pet 32다6446","20221220153824","I","2022-12-22 00:40:33.0","","195719.80573059","419637.111265963","동물운송업","동물운송업","000","0",
"55","동물운송업","02_03_12_P","3100000","310000005020220011","20221128","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 상계동 *** 상계주공**단지아파트","서울특별시 노원구 동일로***길 **, ****동 ***호 (상계동, 상계주공**단지아파트)","01619","45구0613","20221128172907","I","2022-11-30 00:39:55.0","","204855.657578987","462605.747175556","동물운송업","동물운송업","000","0",
"56","동물운송업","02_03_12_P","3560000","356000005020220037","20221201","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 서구 청라동 ***-**","인천광역시 서구 청라커낼로***번길 **, ***동 ****호 (청라동)","22762","pet28부2302","20221201101138","I","2022-12-03 00:39:57.0","","168769.990920297","447993.766869008","동물운송업","동물운송업","000","0",
"57","동물운송업","02_03_12_P","3830000","383000005020220014","20221207","","01","영업/정상","0000","정상","","","","","010-4402-0401","0","","경기도 안양시 만안구 안양동 756-6 라이프스토리 A동 301호","경기도 안양시 만안구 병목안로109번길 33, 라이프스토리 A동 301호 (안양동)","14020","pet265저3545","20221207163456","I","2022-12-09 00:40:33.0","","","","동물운송업","동물운송업","000","0",
"58","동물운송업","02_03_12_P","3740000","374000005020220062","20221207","","01","영업/정상","0000","정상","","","","","","0","","경기도 수원시 권선구 구운동 932-3","경기도 수원시 권선구 구운로85번길 55-18, 302호 (구운동)","16406","pet 262다8957","20221207095456","I","2022-12-09 00:40:33.0","","197267.450472595","419786.810258973","동물운송업","동물운송업","000","0",
"59","동물운송업","02_03_12_P","4520000","452000005020220008","20221123","","01","영업/정상","0000","정상","","","","","","0","","충청남도 아산시 탕정면 매곡리 **** 아산탕정*단지","충청남도 아산시 탕정면 한들물빛*로 *, ***동 ***호 (아산탕정*단지)","31465","pet 64거0243","20221123172223","I","2022-11-25 00:22:33.0","","207576.944243678","364320.766148835","동물운송업","동물운송업","000","0",
"60","동물운송업","02_03_12_P","3120000","312000005020220006","20221207","","01","영업/정상","0000","정상","","","","","010-6789-4630","0","","서울특별시 서대문구 홍제동 312-35 홍제아파트 303호","서울특별시 서대문구 통일로39길 38-17, 303호 (홍제동, 홍제아파트)","03637","pet07라1320","20221207152243","I","2022-12-09 00:40:33.0","","194806.608449237","453907.743637923","동물운송업","동물운송업","000","0",
"61","동물운송업","02_03_12_P","3860000","386000005020220039","20221114","","01","영업/정상","0000","정상","","","","","","0","","경기도 부천시 상동 ***-* 하얀마을","경기도 부천시 조마루로 ***, ****동 ***호 (상동, 하얀마을)","14590","pet60무4679","20221114091833","I","2022-11-16 00:22:24.0","","178277.152772321","444155.919678692","동물운송업","동물운송업","000","0",
"62","동물운송업","02_03_12_P","3070000","307000005020220017","20221207","","01","영업/정상","0000","정상","","","","","010-7754-3444","0","","서울특별시 성북구 장위동 233-599 진성맨션 401호","서울특별시 성북구 장월로11길 64, 401호 (장위동, 진성맨션)","02745","pet206러6268","20221207093602","I","2022-12-09 00:40:33.0","","203976.453978862","456652.287019103","동물운송업","동물운송업","000","0",
"63","동물운송업","02_03_12_P","3150000","315000005020220026","20221216","","01","영업/정상","0000","정상","","","","","010-9500-8484","0","","서울특별시 강서구 화곡동 159-22 인터시티빌라","서울특별시 강서구 곰달래로27길 22, B01호 (화곡동, 인터시티빌라)","07759","PET65라1346","20221216132824","I","2022-12-18 00:40:10.0","","186717.556343635","447735.716938876","동물운송업","동물운송업","000","0",
"64","동물운송업","02_03_12_P","4520000","452000005020220006","20221114","","01","영업/정상","0000","정상","","","","","","0","","충청남도 아산시 배방읍 북수리 **** 중문빌딩","충청남도 아산시 배방읍 북수서로 **, 중문빌딩 ***호","31492","슈슈댕","20221114092637","I","2022-11-16 00:22:24.0","","206158.814452476","363563.757688354","동물운송업","동물운송업","000","0",
"65","동물운송업","02_03_12_P","5530000","553000005020220064","20221207","","01","영업/정상","0000","정상","","","","","01047426339","0","","경기도 화성시 새솔동 19 금강펜테리움센트럴파크송산","경기도 화성시 수노을1로 192, 709동 1903호 (새솔동, 금강펜테리움센트럴파크송산)","18237","pet330저5209","20221207161804","I","2022-12-09 00:40:33.0","","184041.299166863","420211.267204969","동물운송업","동물운송업","000","0",
"66","동물운송업","02_03_12_P","3100000","310000005020220012","20221207","","01","영업/정상","0000","정상","","","","","01032806689","0","","서울특별시 노원구 중계동 362-1 중계8단지주공아파트","서울특별시 노원구 한글비석로5길 62, 803동 1403호 (중계동, 중계8단지주공아파트)","01745","pet288거5655","20221207160410","I","2022-12-09 00:40:33.0","","206578.473028246","460440.769777988","동물운송업","동물운송업","000","0",
"67","동물운송업","02_03_12_P","3780000","378000005020220031","20221220","","01","영업/정상","0000","정상","","","","","010-3009-2660","0","","경기도 성남시 수정구 창곡동 500 위례31단지","경기도 성남시 수정구 위례순환로 17, 3107동 804호 (창곡동, 위례31단지)","13121","pet384어7990","20221220183629","I","2022-12-22 00:40:33.0","","211830.012985814","441228.355564744","동물운송업","동물운송업","000","0",
"68","동물운송업","02_03_12_P","3520000","352000005020220018","20221207","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 연수구 송도동 149 롯데캐슬 캠퍼스타운 3동 2002호","인천광역시 연수구 송도과학로27번길 55, 3동 2002층 (송도동, 롯데캐슬 캠퍼스타운)","21982","pet13고0662","20221207184923","I","2022-12-09 00:40:33.0","","170269.035810393","431824.58077657","동물운송업","동물운송업","000","0",
"69","동물운송업","02_03_12_P","4490000","566000005020220013","20221207","","01","영업/정상","0000","정상","","","","","010-2690-9667","0","","충청남도 천안시 서북구 성정동 663-17","충청남도 천안시 서북구 세관길 57, 성정빌 1동 204호 (성정동)","31136","아리네 개치원","20221207134425","I","2022-12-09 00:40:33.0","","212778.281461914","368913.506847181","동물운송업","동물운송업","000","0",
"70","동물운송업","02_03_12_P","3560000","356000005020220039","20221207","","01","영업/정상","0000","정상","","","","","010-8253-5390","0","","인천광역시 서구 청라동 116-4 중흥에스클래스","인천광역시 서구 청라라임로 131, 267동 105호 (청라동, 중흥에스클래스)","22734","pet141버4785","20221207140332","I","2022-12-09 00:40:33.0","","169156.800932693","448596.42599485","동물운송업","동물운송업","000","0",
"71","동물운송업","02_03_12_P","3490000","349000005020220009","20221207","","01","영업/정상","0000","정상","","","","","010-8311-7617","0","","인천광역시 중구 도원동 41-25 뉴월드아파트","인천광역시 중구 도원로26번길 33-8, 1동 114호 (도원동, 뉴월드아파트)","22327","pet48노7617","20221207101022","I","2022-12-09 00:40:33.0","","167994.812088493","440412.12406901","동물운송업","동물운송업","000","0",
