"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"11","동물위탁관리업","02_03_10_P","5350000","535000004820220022","20221202","","01","영업/정상","0000","정상","","","","","","0","","경상남도 김해시 화목동 ****-*","경상남도 김해시 화목로 ***-**(화목동)","51010","시고르멍멍","20221202170245","I","2022-12-04 00:39:59.0","","369539.600293938","189578.177493216","동물위탁관리업","동물위탁관리업","000","0",
"12","동물위탁관리업","02_03_10_P","5080000","508000004820220009","20221212","","01","영업/정상","0000","정상","","","","","010-8518-4441","0","","경상북도 구미시 상모동 535-9","경상북도 구미시 상사서로10길 21, 주원빌딩 5층 (상모동)","39335","멜로디 펫살롱","20221212150244","I","2022-12-14 00:40:48.0","","322215.117227875","288784.490219885","동물위탁관리업","동물위탁관리업","000","0",
"13","동물위탁관리업","02_03_10_P","3990000","399000004820220037","20221212","","01","영업/정상","0000","정상","","","","","010-4756-8776","0","","경기도 남양주시 진접읍 금곡리 188-2","경기도 남양주시 진접읍 경복대로가마솥골길 67-15","12063","멍멍나래","20221212174821","I","2022-12-14 00:40:48.0","","219236.29573233","468361.365448883","동물위탁관리업","동물위탁관리업","000","0",
"14","동물위탁관리업","02_03_10_P","5310000","531000004820220016","20221212","","01","영업/정상","0000","정상","","","","","010-4915-1342","0","","경상남도 진주시 칠암동 530-24","경상남도 진주시 강남로 161(칠암동)","52725","우즈독","20221212181812","I","2022-12-14 00:40:48.0","","299744.668277598","187598.329829927","동물위탁관리업","동물위탁관리업","000","0",
"15","동물위탁관리업","02_03_10_P","3400000","340000004820220009","20221228","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 기장군 장안읍 기룡리 319-1","부산광역시 기장군 장안읍 반룡로 75, 1층","46031","달링포레스트","20221228171524","I","2022-12-30 00:40:19.0","","405081.842640702","207532.705640004","동물위탁관리업","동물위탁관리업","000","0",
"16","동물위탁관리업","02_03_10_P","4820000","482000004820220003","20221228","","01","영업/정상","0000","정상","","","","","010-3633-2598","0","","전라남도 순천시 연향동 1337-10 J.C.B","전라남도 순천시 연향중앙상가길 23, J.C.B 2층 (연향동)","57967","별다방 야옹이","20221228171941","I","2022-12-30 00:40:19.0","","247417.30231592","161539.484776015","동물위탁관리업","동물위탁관리업","000","0",
"17","동물위탁관리업","02_03_10_P","3120000","312000004820220002","20221212","","01","영업/정상","0000","정상","","","","","02-6956-9961","0","","서울특별시 서대문구 연희동 106-1 1,2,3층","서울특별시 서대문구 증가로 55, 1,2,3층 (연희동)","03702","연희윌라이프펫","20221212104138","I","2022-12-14 00:40:48.0","","193617.47861655","452265.433216766","동물위탁관리업","동물위탁관리업","000","0",
"18","동물위탁관리업","02_03_10_P","3930000","393000004820220018","20221214","","01","영업/정상","0000","정상","","","","","010-9024-9860","0","","경기도 안산시 단원구 선부동 1070-11 동양빌딩","경기도 안산시 단원구 선부광장1로 10, 동양빌딩 3층 304호 (선부동)","15240","호두네 맡겨보개","20221215142046","I","2022-12-17 00:40:08.0","","182845.149692679","425961.704124988","동물위탁관리업","동물위탁관리업","000","0",
"19","동물위탁관리업","02_03_10_P","4090000","409000004820220044","20221207","","01","영업/정상","0000","정상","","","","","010-7570-0214","0","","경기도 김포시 마산동 626-7","경기도 김포시 김포한강7로22번길 174-150, 1층 (마산동)","10067","그룸Groom","20221207141431","I","2022-12-10 00:40:06.0","","168209.441643697","460169.602448918","동물위탁관리업","동물위탁관리업","000","0",
"20","동물위탁관리업","02_03_10_P","3740000","374000004820220036","20221208","","01","영업/정상","0000","정상","","","","","01074882328","0","","경기도 수원시 영통구 이의동 1296-6","경기도 수원시 영통구 센트럴파크로128번길 64, 1층 (이의동)","16504","퍼피즈 by 털로덮인친구들","20221208151700","I","2022-12-10 00:40:06.0","","205026.142134725","421521.203384229","동물위탁관리업","동물위탁관리업","L00","0",
"21","동물위탁관리업","02_03_10_P","3440000","344000004820220003","20221111","","01","영업/정상","0000","정상","","","","","","0","","대구광역시 남구 대명동 ****-*","대구광역시 남구 대경길 **, *층 (대명동)","42462","점핑바우","20221111132145","I","2022-11-13 00:22:23.0","","342003.497496143","261920.606813846","동물위탁관리업","동물위탁관리업","000","0",
"22","동물위탁관리업","02_03_10_P","3640000","364000004820220005","20221205","","01","영업/정상","0000","정상","","","","","0426335953","0","","대전광역시 동구 가양동 451-6","대전광역시 동구 동서대로 1702(가양동)","34573","상신리코코네","20221205093147","I","2022-12-07 00:40:39.0","","239310.687101273","316593.529185046","동물위탁관리업","동물위탁관리업","000","0",
"23","동물위탁관리업","02_03_10_P","4070000","407000004820220011","20221215","","01","영업/정상","0000","정상","","","","","010-9183-5550","0","","경기도 이천시 마장면 이치리 159","경기도 이천시 마장면 이장로 137","17385","윤커피","20221215095102","I","2022-12-17 00:40:08.0","","233604.95289731","418230.882684909","동물위탁관리업","동물위탁관리업","000","0",
"24","동물위탁관리업","02_03_10_P","3940000","396010004820220014","20221205","","01","영업/정상","0000","정상","","","","","010-7121-0827","0","","경기도 고양시 일산동구 풍동 48-8","경기도 고양시 일산동구 고일로251번길 69(풍동)","10300","핫도그(HOTDOG)","20221205094700","I","2022-12-07 00:40:39.0","","182704.245861134","461555.514610149","동물위탁관리업","동물위탁관리업","000","0",
"25","동물위탁관리업","02_03_10_P","4010000","401000004820220030","20221215","","01","영업/정상","0000","정상","","","","","010-5193-7551","0","","경기도 시흥시 배곧동 198-2 다인로얄팰리스 배곧2차","경기도 시흥시 서울대학로278번길 25-32, 다인로얄팰리스 배곧2차 3층 312호 (배곧동)","15011","캣슬","20221215103750","I","2022-12-17 00:40:08.0","","175953.990514593","429717.307576491","동물위탁관리업","동물위탁관리업","000","0",
"26","동물위탁관리업","02_03_10_P","5600000","560000004820220004","20221208","","01","영업/정상","0000","정상","","","","","01092207225","0","","경기도 포천시 내촌면 음현리 10-29","경기도 포천시 내촌면 소리개길 86-22","11192","그루비독","20221208092229","I","2022-12-10 00:40:06.0","","221127.117864483","475112.242536091","동물위탁관리업","동물위탁관리업","000","0",
"27","동물위탁관리업","02_03_10_P","3150000","315000004820220017","20221208","","01","영업/정상","0000","정상","","","","","01026023123","0","","서울특별시 강서구 화곡동 1006-13 아림빌딩","서울특별시 강서구 강서로45가길 19, 아림빌딩 3층 302호 (화곡동)","07705","묘한호텔","20221208093357","I","2022-12-10 00:40:06.0","","185410.679547894","449443.817066507","동물위탁관리업","동물위탁관리업","000","0",
"28","동물위탁관리업","02_03_10_P","3350000","335000004820220002","20221111","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 금정구 구서동 ****-** 홍익빌딩","부산광역시 금정구 금샘로 ***, 홍익빌딩 *층 (구서동)","46235","누리마루 Pet유치원","20221111085922","I","2022-11-13 00:22:23.0","","389615.021560196","197228.251788745","동물위탁관리업","동물위탁관리업","000","0",
"29","동물위탁관리업","02_03_10_P","3700000","370000004820220006","20221201","","01","영업/정상","0000","정상","","","","","","0","","울산광역시 남구 신정동 **-**","울산광역시 남구 신정로***번길 **(신정동)","44686","뚱이애견","20221201190211","I","2022-12-03 00:39:57.0","","410457.987881186","229934.111452275","동물위탁관리업","동물위탁관리업","000","0",
"30","동물위탁관리업","02_03_10_P","3940000","395000004820220018","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 고양시 덕양구 삼송동 *** 삼송역 현대 헤리엇 ***동 ***호","경기도 고양시 덕양구 삼송로 ***, ***동 *층 ***호 (삼송동, 삼송역 현대 헤리엇)","10592","그루밍솔루션삼송점","20221201131122","I","2022-12-03 00:39:57.0","","191025.010600686","461186.001629362","동물위탁관리업","동물위탁관리업","000","0",
"31","동물위탁관리업","02_03_10_P","3940000","395000004820220019","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 고양시 덕양구 지축동 ***-***","경기도 고양시 덕양구 삼송로 ***-*(지축동)","10583","도그스테이","20221201131440","I","2022-12-03 00:39:57.0","","191289.028951059","461287.545248916","동물위탁관리업","동물위탁관리업","000","0",
"32","동물위탁관리업","02_03_10_P","3460000","346000004820220014","20221125","","01","영업/정상","0000","정상","","","","","","0","","대구광역시 수성구 만촌동 ***-** *층","대구광역시 수성구 달구벌대로***길 **-**, *층 (만촌동)","42068","도그도그샵","20221125151017","I","2022-11-27 00:22:23.0","","348843.126874767","263138.416617985","동물위탁관리업","동물위탁관리업","000","0",
"33","동물위탁관리업","02_03_10_P","5700000","570000004820220003","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 여주시 상동 **-* *층","경기도 여주시 주내로 **, *층 (상동)","12634","삼룡이네","20221201110716","I","2022-12-03 00:39:57.0","","257706.889373374","421408.660506148","동물위탁관리업","동물위탁관리업","000","0",
"34","동물위탁관리업","02_03_10_P","5530000","553000004820220061","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 장지동 774-6","경기도 화성시 전나무골길 46-34(장지동)","18510","빵순돌이네","20221221165551","U","2022-12-23 02:40:00.0","","211115.469905253","405914.631470397","동물위탁관리업","동물위탁관리업","000","0",
"35","동물위탁관리업","02_03_10_P","3910000","391000004820220044","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 평택시 신장동 ***-** 프로방스 레지던스 ***, ***호","경기도 평택시 신장로 **, 프로방스 레지던스 *층 ***, ***호 (신장동)","17758","DOG IN US","20221201085827","I","2022-12-03 00:39:57.0","","204381.106356651","397539.909200963","동물위탁관리업","동물위탁관리업","000","0",
"36","동물위탁관리업","02_03_10_P","4490000","565000004820220009","20221125","","01","영업/정상","0000","정상","","","","","","0","","충청남도 천안시 동남구 청당동 **-*","충청남도 천안시 동남구 용평*길 **-**(청당동)","31212","하트멍","20221125135854","I","2022-11-27 00:22:23.0","","213671.924468531","363785.918261817","동물위탁관리업","동물위탁관리업","000","0",
"37","동물위탁관리업","02_03_10_P","4010000","401000004820220027","20221125","","01","영업/정상","0000","정상","","","","","","0","","경기도 시흥시 배곧동 ***-* 다인로얄팰리스 배곧*차","경기도 시흥시 서울대학로***번길 **-**, 다인로얄팰리스 배곧*차 *층 ***,***호 (배곧동)","15011","영캣하우스&제이엠테크","20221125110809","I","2022-11-27 00:22:23.0","","175953.990514593","429717.307576491","동물위탁관리업","동물위탁관리업","000","0",
"38","동물위탁관리업","02_03_10_P","3470000","347000004820220009","20221128","","01","영업/정상","0000","정상","","","","","","0","","대구광역시 달서구 도원동 ****-*","대구광역시 달서구 도원로서길 *-*, *층 (도원동)","42832","몽쥬르","20221128161248","I","2022-11-30 00:39:55.0","","338688.233873414","257464.894590103","동물위탁관리업","동물위탁관리업","000","0",
"39","동물위탁관리업","02_03_10_P","3560000","356000004820220033","20221125","","01","영업/정상","0000","정상","","","","","18997743","0","","인천광역시 서구 청라동 ***-*","인천광역시 서구 담지로*번길 **, *층 (청라동)","22733","스퀘어에듀센터","20221125093616","I","2022-11-27 00:22:23.0","","169982.015790663","447700.147550867","동물위탁관리업","동물위탁관리업","L00","0",
"40","동물위탁관리업","02_03_10_P","3670000","367000004820220005","20221201","","01","영업/정상","0000","정상","","","","","042-488-1110","0","","대전광역시 유성구 원신흥동 ***-* 코너빌","대전광역시 유성구 원신흥로**번길 **-**, *층 (원신흥동)","34193","도그니엘(르라움)","20221201143054","I","2022-12-03 00:39:57.0","","230789.810316607","315465.342697745","동물위탁관리업","동물위탁관리업","000","0",
"41","동물위탁관리업","02_03_10_P","3200000","320000004820220007","20221201","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 관악구 봉천동 ***-* *층","서울특별시 관악구 봉천로**길 **, *층 (봉천동)","08750","쪼꼬망댕","20221201145000","I","2022-12-03 00:39:57.0","","194787.194233354","442629.877075961","동물위탁관리업","동물위탁관리업","000","0",
"42","동물위탁관리업","02_03_10_P","5530000","553000004820220060","20221128","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 새솔동 *","경기도 화성시 큰나래*길 *-*, *층 (새솔동)","18241","똑독트레이닝스쿨","20221201135419","U","2022-12-03 02:40:00.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"43","동물위탁관리업","02_03_10_P","5590000","559000004820220018","20221220","","01","영업/정상","0000","정상","","","","","010-8896-1317","0","","경기도 양주시 고읍동 196-2","경기도 양주시 청담로84번길 184-22(고읍동)","11480","아리","20221220084800","I","2022-12-22 00:40:33.0","","206976.180273113","478383.457952888","동물위탁관리업","동물위탁관리업","000","0",
"44","동물위탁관리업","02_03_10_P","4040000","404000004820220015","20221201","","01","영업/정상","0000","정상","","","","","","0","","경기도 하남시 감일동 ***-*","경기도 하남시 감일남로 **, *층 (감일동)","12993","한강펫케어센터","20221201175039","I","2022-12-03 00:39:57.0","","212613.357202622","444919.398532181","동물위탁관리업","동물위탁관리업","000","0",
"45","동물위탁관리업","02_03_10_P","6510000","651000004820220020","20221201","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 용강동 ****-*","제주특별자치도 제주시 아봉로 ***-*(용강동)","63312","제주에니멀119주식회사","20221201174408","I","2022-12-03 00:39:57.0","","161192.496185008","-2364.97472165833","동물위탁관리업","동물위탁관리업","L00","0",
"46","동물위탁관리업","02_03_10_P","3240000","324000004820220012","20221130","","01","영업/정상","0000","정상","","","","","02-471-8825","0","","서울특별시 강동구 성내동 ***-** 키키빌딩","서울특별시 강동구 양재대로**가길 **, 키키빌딩 *층 (성내동)","05405","포포앤미루 강동점","20221130142354","I","2022-12-03 00:39:57.0","","211797.452567829","447012.990706287","동물위탁관리업","동물위탁관리업","000","0",
"47","동물위탁관리업","02_03_10_P","4240000","424000004820220001","20221121","","01","영업/정상","0000","정상","","","","","","0","","강원도 삼척시 남양동 **-* 삼척지역자활센터","강원도 삼척시 오십천로 ***, 우측 *층 (남양동)","25920","지지네 애견호텔 & 놀이방","20221121105757","I","2022-11-23 00:22:23.0","","391754.115964144","439685.22304661","동물위탁관리업","동물위탁관리업","000","0",
"48","동물위탁관리업","02_03_10_P","3660000","366000004820220013","20221220","","01","영업/정상","0000","정상","","","","","010-3443-8751","0","","대전광역시 서구 용문동 272-12","대전광역시 서구 괴정로 145, 1층 (용문동)","35301","놀루오숑","20221220155644","I","2022-12-22 00:40:33.0","","234767.257845293","315066.349716809","동물위탁관리업","동물위탁관리업","000","0",
"49","동물위탁관리업","02_03_10_P","3720000","372000004820220003","20221125","","01","영업/정상","0000","정상","","","","","","0","","울산광역시 북구 매곡동 *** 월드메르디앙 월드시티","울산광역시 북구 매산로 **, ***동 ***호 (매곡동, 월드메르디앙 월드시티)","44223","댕댕살롱","20221125110020","I","2022-11-27 00:22:23.0","","413828.445447441","240568.120226808","동물위탁관리업","동물위탁관리업","000","0",
"50","동물위탁관리업","02_03_10_P","3360000","336000004820220008","20221128","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 강서구 명지동 ****-*","부산광역시 강서구 명지국제*로**번길 **, *동 *층 ***호 (명지동)","46726","펫 호텔 조선 CGV","20221128161740","I","2022-11-30 00:39:55.0","","373470.603738983","178919.583231213","동물위탁관리업","동물위탁관리업","000","0",
"51","동물위탁관리업","02_03_10_P","5680000","568000004820220004","20221128","","01","영업/정상","0000","정상","","","","","","0","","충청남도 당진시 채운동 ***-*","충청남도 당진시 서부로 **, *층 (채운동)","31785","스테이 멈무","20221128155727","I","2022-11-30 00:39:55.0","","166844.385578698","376296.604800106","동물위탁관리업","동물위탁관리업","000","0",
"52","동물위탁관리업","02_03_10_P","3450000","345000004820220015","20221207","","01","영업/정상","0000","정상","","","","","053-939-1175","0","","대구광역시 북구 복현동 427-5","대구광역시 북구 동북로 254(복현동)","41562","이든동물병원","20221207164531","I","2022-12-09 00:40:33.0","","346059.366805082","267231.32753542","동물위탁관리업","동물위탁관리업","000","0",
"53","동물위탁관리업","02_03_10_P","3740000","374000004820220035","20221207","","01","영업/정상","0000","정상","","","","","01041446188","0","","경기도 수원시 팔달구 화서동 58-2","경기도 수원시 팔달구 고화로 133, 4층 (화서동)","16440","컴투펫 위탁보호센터","20221207110810","I","2022-12-09 00:40:33.0","","200496.090869891","419933.305305193","동물위탁관리업","동물위탁관리업","000","0",
"54","동물위탁관리업","02_03_10_P","5130000","513000004820220014","20221216","","01","영업/정상","0000","정상","","","","","010-4879-0030","0","","경상북도 경산시 점촌동 100-11 2층","경상북도 경산시 한의대로 100, 2층 (점촌동)","38577","리틀레이첼","20221216131140","I","2022-12-18 00:40:10.0","","360543.306491435","257675.240729557","동물위탁관리업","동물위탁관리업","000","0",
"55","동물위탁관리업","02_03_10_P","3460000","346000004820220013","20221114","","01","영업/정상","0000","정상","","","","","","0","","대구광역시 수성구 신매동 ***-* *층","대구광역시 수성구 고산로*길 **, *층 (신매동)","42287","도그미용실","20221114140601","I","2022-11-16 00:22:24.0","","353957.920652833","260560.492174009","동물위탁관리업","동물위탁관리업","000","0",
"56","동물위탁관리업","02_03_10_P","3780000","378000004820220014","20221123","","01","영업/정상","0000","정상","","","","","","0","","경기도 성남시 중원구 도촌동 *** 래일스타","경기도 성남시 중원구 도촌로*번길 *, 래일스타 ***호 (도촌동)","13426","포에버위드유 살롱","20221123175302","I","2022-11-25 00:22:33.0","","213308.469107233","434770.135277088","동물위탁관리업","동물위탁관리업","000","0",
"57","동물위탁관리업","02_03_10_P","3490000","349000004820220015","20221118","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 중구 을왕동 ***-*","인천광역시 중구 용유서로***번길 **-*, *층 (을왕동)","22383","더멍스","20221118110034","I","2022-11-20 00:22:23.0","","144845.999350913","438251.308855475","동물위탁관리업","동물위탁관리업","000","0",
"58","동물위탁관리업","02_03_10_P","5540000","554000004820220014","20221123","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 퇴촌면 관음리 ***-**","경기도 광주시 퇴촌면 천진암로 ***, *층","12713","펫 게스트하우스","20221123194116","I","2022-11-25 00:22:33.0","","229301.05342486","439664.767421508","동물위탁관리업","동물위탁관리업","000","0",
"59","동물위탁관리업","02_03_10_P","4040000","404000004820220014","20221118","","01","영업/정상","0000","정상","","","","","","0","","경기도 하남시 망월동 **** 미사역 파라곤 스퀘어 ****호","경기도 하남시 미사강변동로 ***-*, 미사역 파라곤 스퀘어 ****호 (망월동)","12912","쭌스랜드","20221118145250","I","2022-11-20 00:22:23.0","","217057.174856799","451355.879802577","동물위탁관리업","동물위탁관리업","000","0",
"60","동물위탁관리업","02_03_10_P","3910000","391000004820220045","20221216","","01","영업/정상","0000","정상","","","","","031-662-7920","0","","경기도 평택시 신장동 51-2","경기도 평택시 송탄고가길 2, 베스트프렌즈 동물병원 (신장동)","17752","베스트프렌즈 동물병원","20221216172825","I","2022-12-18 00:40:10.0","","204732.87698923","398732.23573523","동물위탁관리업","동물위탁관리업","000","0",
"61","동물위탁관리업","02_03_10_P","3240000","324000004820220013","20221207","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강동구 길동 91-8 자유빌딩","서울특별시 강동구 천중로 235, 자유빌딩 3층 (길동)","05304","열려라참깨 강아지유치원","20221207131537","I","2022-12-09 00:40:33.0","","212874.348012302","448744.879518229","동물위탁관리업","동물위탁관리업","000","0",
"62","동물위탁관리업","02_03_10_P","3290000","329000004820220020","20221207","","01","영업/정상","0000","정상","","","","","010-9978-3435","0","","부산광역시 부산진구 당감동 754-1 호성빌딩","부산광역시 부산진구 당감서로 89, 호성빌딩 4층 (당감동)","47146","486 Dogcamp","20221207091819","I","2022-12-09 00:40:33.0","","385454.670775094","187357.360720881","동물위탁관리업","동물위탁관리업","000","0",
"63","동물위탁관리업","02_03_10_P","3910000","391000004820220046","20221216","","01","영업/정상","0000","정상","","","","","031-655-7897","0","","경기도 평택시 비전동 1105-2 골든프라자 4차 204호","경기도 평택시 비전5로 20-10, 골든프라자 4차동 204호 (비전동)","17854","아띠라미","20221216174226","I","2022-12-18 00:40:10.0","","210043.596887025","388686.453120768","동물위탁관리업","동물위탁관리업","000","0",
"64","동물위탁관리업","02_03_10_P","3440000","344000004820220004","20221216","","01","영업/정상","0000","정상","","","","","010-8486-6263","0","","대구광역시 남구 대명동 332-22 4층","대구광역시 남구 대명로 234, 4층 (대명동)","42450","멍멍아학교가자 (대명점)","20221227112057","U","2022-12-29 02:40:00.0","","342917.111291803","261267.415786702","동물위탁관리업","동물위탁관리업","000","0",
"65","동물위탁관리업","02_03_10_P","3110000","311000004820220009","20221123","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 진관동 ***-**","서울특별시 은평구 대서문길 **, *층 (진관동)","03307","북한산댕댕이들","20221123181858","I","2022-11-25 00:22:33.0","","195541.99179508","461398.81455658","동물위탁관리업","동물위탁관리업","000","0",
"66","동물위탁관리업","02_03_10_P","5680000","568000004820220003","20221114","","01","영업/정상","0000","정상","","","","","","0","","충청남도 당진시 송악읍 기지시리 ***","충청남도 당진시 송악읍 틀모시로 ***, *층 ***호","31733","멍멍멍 애견카페","20221114160055","I","2022-11-16 00:22:24.0","","172600.940291423","377810.907207533","동물위탁관리업","동물위탁관리업","000","0",
"67","동물위탁관리업","02_03_10_P","3230000","323000004820220021","20221130","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 송파구 송파동 ***-*","서울특별시 송파구 가락로 ***, ***호 (송파동)","05664","꼬순 유치원","20221130152950","I","2022-12-02 00:40:06.0","","209999.117811662","444657.925461296","동물위탁관리업","동물위탁관리업","000","0",
"68","동물위탁관리업","02_03_10_P","6510000","651000004820220022","20221213","","01","영업/정상","0000","정상","","","","","010-3175-8046","0","","제주특별자치도 제주시 외도일동 642-7","제주특별자치도 제주시 우정로18길 11, 1층 (외도일동)","63069","슈몽슈몽","20221213090152","I","2022-12-15 00:40:07.0","","146914.738648435","-1137.98193022284","동물위탁관리업","동물위탁관리업","000","0",
"69","동물위탁관리업","02_03_10_P","3080000","308000004820220009","20221213","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강북구 수유동 167-69 성우스타팰리스","서울특별시 강북구 도봉로101길 39-11(수유동, 성우스타팰리스)","01055","살랑애견미용실","20221213134101","I","2022-12-15 00:40:07.0","","202433.900019468","460114.412543834","동물위탁관리업","동물위탁관리업","000","0",
"70","동물위탁관리업","02_03_10_P","6510000","651000004820220021","20221207","","01","영업/정상","0000","정상","","","","","010-7654-9286","0","","제주특별자치도 제주시 오라이동 843-5","제주특별자치도 제주시 오남로 280(오라이동)","63147","요기개","20221207092053","I","2022-12-09 00:40:33.0","","154675.174854888","-2684.01778726761","동물위탁관리업","동물위탁관리업","000","0",
"71","동물위탁관리업","02_03_10_P","3930000","393000004820220017","20221213","","01","영업/정상","0000","정상","","","","","010-7474-9799","0","","경기도 안산시 단원구 초지동 729-2 메디프라자","경기도 안산시 단원구 광덕1로 63, 메디프라자 205호 (초지동)","15445","슈슈캣","20221213160121","I","2022-12-15 00:40:07.0","","183681.310235768","422991.45891915","동물위탁관리업","동물위탁관리업","000","0",
"72","동물위탁관리업","02_03_10_P","4010000","401000004820220026","20221114","","01","영업/정상","0000","정상","","","","","","0","","경기도 시흥시 배곧동 *** 배곧 로자벨","경기도 시흥시 배곧*로 **-**, 배곧 로자벨 *층 ***호 (배곧동)","15010","플레이독(애견유치원&호텔)","20221114172037","I","2022-11-16 00:22:24.0","","175710.144699774","430595.326420398","동물위탁관리업","동물위탁관리업","000","0",
